name,white_ideas,black_ideas,white_risks,black_risks,to_study,moves
"Caro-Kann Defense, Advance Variation","Patient development, as you have space advantage and center is closed. Start Nf6. Take dxc5 if they push c5","Option 1: Bf5 before it gets trapped, then lock down with e6. Challenge with c5 when it's supported, which may be right away. Use moves like Bg4 (attacking knight on f3), e6, Ne7 to f5, and Qb6 to attack d4
Option 2: immediate c5. Arguably easier to play

Option 2: If white does b4, immediately do a5. Don't let that queenside pawn chain exist. If they do c3, take anyway and attack the next pawn with b6. Can also play Nd7, and if they pin w/ light bishop, bring in other horse to unpin (slow)",Thinking you can pin e pawn with Bg5. Black just moves the queen Qb5 to threaten b pawn,"If you c5 and they dxc5, don't try to get the bishop out. Play e6, accept that it's trapped",,1.e4 c6 2.d4 d5 3.e5
"Caro-Kann Defense, Exchange Variation",Pretty normal game,"Pretty normal game. If they do c4, you play Nf3",,,,1.e4 c6 2.d4 d5 3.exd5
"Caro-Kann Defense, General",Take the center and establish and dark-squared pawn chain.,"Central idea: get a nice solid position and try to destroy White's central dark square pawn chain

Asymmetric attack on the center. Establish a well-supported pawn in the center of the board. Black tries to destroy this pawn chain by attacking d4 or sometimes even c3.

Accept loss of light bishop, as our pawn chain will be light squared. Good to trade it for knight on f3 if possible to weaken d4",,,,1.e4 c6
"Caro-Kann Defense, Maroczy Variation",,,,,,1.e4 c6 2.d4 d5 3.f3
"Caro-Kann Defense, Modern Variation",,,,,,1.e4 c6 2.d4 d5 3.Nd2
"Caro-Kann Defense, Standard, Unorthodox Replies",Fall the knight back if Bf5. Then develop,"Bf5 attacking knight. Bg6 if they attack with knight, e6 if queen",,,,1.e4 c6 2.d4 d5 3.Nc3
"Four Knights Game, General",,,,,,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6
"Four Knights Game, Gunsberg Variation",,,,,,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.a3
"Four Knights Game, Italian Variation",,,,,,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bc4
"Four Knights Game, Scotch Variation",,,,,,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4
"Four Knights Game, Spanish Variation",,,,,,1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5
"French Defense, Chigorin Variation",,,,,,1.e4 e6 2.Qe2
"French Defense, General",,,,,,1.e4 e6
"French Defense, King's Indian Attack",,,,,,1.e4 e6 2.d3
"French Defense, Knight Variation",,,,,,1.e4 e6 2.Nf3
"French Defense, La Bourdonnais Variation",,,,,,1.e4 e6 2.f4
"French Defense, Normal Variation",,,,,,1.e4 e6 2.d4
"Italian Game, Anti-Fried Liver Defense",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bc4 h6
"Italian Game, General",Pressure f7 pawn. Castle fast. White may attempt fried liver attack or scholar's mate,"No immediate pressure. Giuoco piano for slow, two knights for fast",Safe,"White may attempt fried liver attack, i.e. Ng5 for a double attack on f7. Can counter by going Giuoco piano, keeping queen pointed at g5 and buying time to castle. If I go two knights, I need to know a line to stay even",,1.e4 e5 2.Nf3 Nc6 3.Bc4
"Italian Game, Hungarian Defense",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7
"Italian Game, Italian Variation",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5
"Italian Game, Schilling-Kostic Gambit",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nd4
"Italian Game, Two Knights Defense","d3 to defend the pawn, NOT Nc3. Or gambit with d4, then push e5 for control or castle for safety","If d4: Take the pawn exd4, then if they push e5, do d5 intermezzo then move your knight Ne5. It's fine if they en passant, just take with bishop","4. Nc3. Allows Nxe5, as recapturing with knight allows a center fork","If they do fried liver attack 4.Ng5, MUST play this line: 4...d5 5.exd5 Na6 6.Bb5+ c6 7. dxc6 bxc6. then the threat is gone. If they 5.Nxf7 after d5, do 5...Kxf7 6.exd5 b5. 3 options: if they take knight, take bishop. if they take pawn, take pawn with queen. if they retreat bishop, take pawn with queen if safe, else attack bishop with knight ",,1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6
"King Pawn Game, General",,,,"White going for immediate f7 checkmate. Defend 2.Qa4 with Nc3, 2.Bc3 or 2.Qf3 with Nf6 (blocks Qa5 moves),",,1.e4 e5
"King's Knight Opening, Normal Variation",,,,,,1.e4 e5 2.Nf3 Nc6
"King's Pawn Opening, General",,,,,,1.e4
"Queen Pawn Game, Colle System",,,,,,1.d4 d5 2.Nf3 Nf6 3.e3
"Queen Pawn Game, General",,,,,,1.d4 d5
"Queen Pawn Game, London System",,,,,,1.d4 d5 2.Nf3 Nf6 3.Bf4
"Queen Pawn Game, Symmetrical Variation",,,,,,1.d4 d5 2.Nf3 Nf6
"Queen Pawn Game, Symmetrical Variation, Pseudo-Catalan",,,,,,1.d4 d5 2.Nf3 Nf6 3.g3
"Queen Pawn Game, Torre Attack",,,,,,1.d4 d5 2.Nf3 Nf6 3.Bg5
"Queen Pawn Game, Zukertort Variation",,,,,,1.d4 d5 2.Nf3
"Queen Pawn Opening, General",,,,,,1.d4
"Russian Game, General",,,,,,1.e4 e5 2.Nf3 Nf6
"Russian Game, Modern Attack",,,,,,1.e4 e5 2.Nf3 Nf6 3.d4
"Russian Game, Three Knights Game",,,,,,1.e4 e5 2.Nf3 Nf6 3.Nc3
"Russian Game, Urusov Gambit",,,,,,1.e4 e5 2.Nf3 Nf6 3.Bc4
"Scandinavian Defense, General",,,,,,1.e4 d5
"Scandinavian Defense, Mieses-Kotroc Variation","Take the trade, chase the queen with Nc3. Then Nf3 is good, or Bc4+d4, or maybe d4+Bc2. Bc4+d2 seems less sharp",Put pressure on d4 if they don't defend it,"Not knowing how to defend against Queen on d file, b file, concentrated attack with bishop. Panicking when Qxb5",,,1.e4 d5 2.exd5 Qxd5
"Scandinavian Defense, Modern Variation",,,,,,1.e4 d5 2.exd5 Nf6
"Sicilian Defense, Alapin Variation, General",,,,,,1.e4 c5 2.c3
"Sicilian Defense, Closed Variation",,,,,,1.e4 c5 2.Nc3
"Sicilian Defense, General",,,,,,1.e4 c5
"Sicilian Defense, Lasker-Dunne Attack",,,,,,1.e4 c5 2.g3
"Sicilian Defense, McDonnell Attack",,,,,,1.e4 c5 2.f4
"Sicilian Defense, Snyder Variation",,,,,,1.e4 c5 2.b3
"Spanish Game, Classical Variation",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bb5 Bc5
"Spanish Game, Cozio Defense, General",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bb5 Nge7
"Spanish Game, Fianchetto Defense",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bb5 g6
"Spanish Game, General","Eventually play c3 and d4 to build a pawn majority in the centre. Castle fast. Threaten e pawn by removing its defender, forcing defensive play","Ignore the bishop with Nf6
Kick it with Morphy defense, a6. If they trade, know the tactic to win back the e pawn (Qe4 after Nxe5)","Thinking you can win a pawn by trading the bishop for knight: Bxc3 dxc3 Nxe5. In reality, black plays Qe4 and wins the pawn back","Doubled pawns
Taking back bishop with bxc3 instead of dxc3. The former creates 3 pawn islands rather than 2. The former also makes it harder to win back the e pawn, though can use Qe7 then d6 to attack knight",,1.e4 e5 2.Nf3 Nc6 3.Bb5
"Spanish Game, Schliemann Defense",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bb5 f5
"Spanish Game, Steinitz Defense",,,,,,1.e4 e5 2.Nf3 Nc6 3.Bb5 d6
Starting Position,Win,Don't lose,Not winning,Losing,,Start
"Three Knights Opening, General",,,,,,1.e4 e5 2.Nf3 Nc6 3.Nc3
